cell_id, m_id,x r,y r,z r,x r+,y r+,z r+,x NL,y NL,z NL,label,t,dx,dy,dz,speed
3214094,3236198,1191.0,546.6,2506.7,1191.6,546.8,2497.4,1134.9,505.5,2492.1,-1,184,-0.88393,-0.65818,-1.14692,1.59058
3214092,3236196,1188.0,538.2,2503.5,1188.8,538.4,2492.9,1132.8,496.4,2486.2,-1,184,-0.84336,-0.91175,-1.31437,1.80834
3228326,3250665,1274.6,581.8,2466.6,1278.9,583.2,2437.9,1210.6,524.4,2423.1,-1,184,-1.45804,-0.36668,-4.83381,5.06221
3215080,3237245,1204.0,563.8,2564.3,1204.4,564.1,2581.2,1163.0,530.5,2579.1,-1,184,-1.8379,0.46477,0.77027,2.04627
3214093,3236197,1192.4,549.4,2499.0,1193.4,549.7,2486.2,1134.4,506.4,2479.2,-1,184,-0.83623,-0.79427,-1.11647,1.6052
3215176,3237344,1298.6,692.1,2459.4,1304.5,694.2,2426.9,1237.7,634.8,2403.7,-1,184,0.83949,0.45355,-4.16069,4.2687
3213918,3236036,1303.7,428.2,2669.3,1310.8,431.4,2707.1,1289.8,409.9,2710.5,2,184,-0.53685,-2.20113,0.7926,2.40029
3213580,3235675,1310.2,413.3,2528.9,1310.2,413.3,2528.2,1267.2,359.6,2525.4,2,184,-2.2049,-2.35758,-1.16497,3.43176
3213698,3235793,1287.6,432.2,2568.3,1288.1,432.6,2585.9,1249.3,387.1,2585.0,-1,184,-1.13938,-1.43966,-0.30957,1.86189
3213977,3236040,1300.4,426.8,2674.3,1307.9,430.1,2712.7,1287.2,409.2,2716.6,-1,184,-0.83194,-2.13466,0.4381,2.33256
3215477,3237655,1329.3,462.8,2839.4,1341.1,467.8,2865.9,1337.2,463.2,2865.9,-1,184,1.56014,-2.28169,3.47141,4.43744
3213919,3236037,1314.4,445.4,2639.6,1319.5,447.8,2674.5,1294.0,418.3,2678.7,2,184,-0.99868,-1.79493,0.07025,2.05525
3213916,3236034,1318.1,438.9,2640.3,1323.3,441.3,2675.2,1297.9,411.9,2679.4,2,184,-0.72131,-2.02695,-0.12747,2.15524
